Year,성별,Value
2001,,30.2
2001,남성,61.3
2001,여성,5.3
2005,,28.8
2005,남성,52.3
2005,여성,5.7
2007,,25.0
2007,남성,45.1
2007,여성,5.3
2008,,27.3
2008,남성,47.7
2008,여성,7.3
2009,,26.6
2009,남성,46.7
2009,여성,6.9
2010,,26.9
2010,남성,48.1
2010,여성,6.1
2011,,26.3
2011,남성,46.8
2011,여성,6.5
2012,,25.0
2012,남성,43.3
2012,여성,7.4
2013,,23.2
2013,남성,41.4
2013,여성,5.7
2014,,23.3
2014,남성,42.3
2014,여성,5.1
2015,,21.6
2015,남성,38.3
2015,여성,5.3
2016,,22.6
2016,남성,39.4
2016,여성,6.1
2017,,21.1
2017,남성,37.0
2017,여성,5.2
2018,,21.1
2018,남성,35.8
2018,여성,6.5
