Year,학년,과목,성별,Value
2000,중학교,수학,,92.7714714735394
2000,중학교,수학,남성,94.19
2000,중학교,수학,여성,91.01
2000,중학교,읽기,,94.2475850815324
2000,중학교,읽기,남성,92.66
2000,중학교,읽기,여성,96.25
2003,중학교,수학,,90.4805272880011
2003,중학교,수학,남성,91.48
2003,중학교,수학,여성,89.01
2003,중학교,읽기,,93.2286510258966
2003,중학교,읽기,남성,91.64
2003,중학교,읽기,여성,95.56
2006,중학교,수학,,91.144938397558
2006,중학교,수학,남성,90.92
2006,중학교,수학,여성,91.38
2006,중학교,읽기,,94.2216039225605
2006,중학교,읽기,남성,91.8
2006,중학교,읽기,여성,96.71
2009,중학교,수학,,91.8746374551233
2009,중학교,수학,남성,90.88
2009,중학교,수학,여성,92.99
2009,중학교,읽기,,94.2059831374301
2009,중학교,읽기,남성,91.19
2009,중학교,읽기,여성,97.58
2011,초등 2학년 혹은 3학년,수학,,96.6250624829496
2011,초등 2학년 혹은 3학년,수학,남성,96.5557553551492
2011,초등 2학년 혹은 3학년,수학,여성,96.6999404824642
2012,중학교,수학,,90.8668931490637
2012,중학교,수학,남성,90.82
2012,중학교,수학,여성,90.92
2012,중학교,읽기,,92.3523720149927
2012,중학교,읽기,남성,89.61
2012,중학교,읽기,여성,95.5
2015,중학교,수학,,84.5371147614201
2015,중학교,수학,남성,82.2459157070967
2015,중학교,수학,여성,87.0418200647324
2015,중학교,읽기,,86.3429728462679
2015,중학교,읽기,남성,80.8356517643625
2015,중학교,읽기,여성,92.3634957226471
2015,초등 2학년 혹은 3학년,수학,,96.8516571848543
2015,초등 2학년 혹은 3학년,수학,남성,96.6061791591358
2015,초등 2학년 혹은 3학년,수학,여성,97.1149365852532
2018,중학교,수학,,85.0014731961941
2018,중학교,수학,남성,84.4343467763045
2018,중학교,수학,여성,85.626355330099
2018,중학교,읽기,,84.8917292785689
2018,중학교,읽기,남성,81.3000049164239
2018,중학교,읽기,여성,88.8492320594345
