Year,기술유형,성별,Value
2015,ARSP,,55.67186
2015,ARSP,남성,49.3953
2015,ARSP,여성,61.84353
2015,EMAIL,,60.809
2015,EMAIL,여성,55.0189
2015,EMAIL,남성,66.50234
2015,INST,,38.89033
2015,INST,여성,31.2614
2015,INST,남성,46.39177
2015,PCPR,,4.79118
2015,PCPR,여성,2.95221
2015,PCPR,남성,6.59941
2015,SOFT,,48.73657
2015,SOFT,여성,41.27835
2015,SOFT,남성,56.07015
2015,TRAF,,47.78333
2015,TRAF,여성,41.50175
2015,TRAF,남성,53.95992
2016,ARSP,,60.60621
2016,ARSP,여성,54.99273
2016,ARSP,남성,66.12964
2016,EMAIL,,64.58916
2016,EMAIL,여성,58.65253
2016,EMAIL,남성,70.43056
2016,INST,,43.6091
2016,INST,여성,35.70192
2016,INST,남성,51.38943
2016,PCPR,,4.36763
2016,PCPR,여성,2.64651
2016,PCPR,남성,6.06115
2016,SOFT,,56.18882
2016,SOFT,여성,49.32573
2016,SOFT,남성,62.94182
2016,TRAF,,51.39956
2016,TRAF,여성,44.7866
2016,TRAF,남성,57.90644
2017,ARSP,,43.57606
2017,ARSP,여성,35.47301
2017,ARSP,남성,51.65622
2017,CMFL,,74.78145
2017,CMFL,여성,76.44805
2017,CMFL,남성,84.12011
2017,COPA,,61.82875
2017,COPA,여성,55.6934
2017,COPA,남성,68.63182
2017,EMAIL,,57.4379
2017,EMAIL,여성,51.36743
2017,EMAIL,남성,63.83655
2017,EPRS,,35.85351
2017,EPRS,여성,29.20505
2017,EPRS,남성,42.48057
2017,INST,,53.50068
2017,INST,여성,46.99777
2017,INST,남성,60.85703
2017,PCPR,,4.8959
2017,PCPR,여성,3.05081
2017,PCPR,남성,6.70973
2017,SOFT,,51.00982
2017,SOFT,여성,43.93124
2017,SOFT,남성,58.17534
2017,TRAF,,48.41656
2017,TRAF,여성,42.84918
2017,TRAF,남성,54.91568
2018,ARSP,,43.13112
2018,CMFL,,83.69524
2018,COPA,,78.82953
2018,EMAIL,,68.05023
2018,EPRS,,36.90453
2018,INST,,52.5258
2018,PCPR,,5.56063
2018,SOFT,,51.03273
2018,TRAF,,50.31892
2018,ARSP,여성,36.89694
2018,CMFL,여성,79.62462
2018,COPA,여성,73.64888
2018,EMAIL,여성,61.79355
2018,EPRS,여성,31.11119
2018,INST,여성,46.22081
2018,PCPR,여성,3.8747
2018,SOFT,여성,44.70496
2018,TRAF,여성,44.68703
2018,ARSP,남성,49.14736
2018,CMFL,남성,87.62356
2018,COPA,남성,83.82907
2018,EMAIL,남성,74.08818
2018,EPRS,남성,42.49533
2018,INST,남성,58.61038
2018,PCPR,남성,7.18762
2018,SOFT,남성,57.13929
2018,TRAF,남성,55.75393
2019,ARSP,,44.42991
2019,CMFL,,84.9461
2019,COPA,,76.65041
2019,EMAIL,,74.54152
2019,EPRS,,38.69654
2019,INST,,53.96132
2019,PCPR,,53.96132
2019,SOFT,,52.50412
2019,TRAF,,51.09691
2019,ARSP,여성,39.79881
2019,COPA,여성,82.5829
2019,EMAIL,여성,72.55587
2019,EPRS,여성,33.68059
2019,INST,여성,49.90405
2019,PCPR,여성,4.48476
2019,SOFT,여성,55.96858
2019,TRAF,여성,52.21361
2019,ARSP,남성,51.44065
2019,COPA,남성,87.28434
2019,EMAIL,남성,80.94205
2019,EPRS,남성,44.76779
2019,INST,남성,61.27377
2019,PCPR,남성,7.72854
2019,SOFT,남성,66.42797
2019,TRAF,남성,62.69805
2020,ARSP,,49.67028
2020,CMFL,,79.50682
2020,COPA,,80.16304
2020,EMAIL,,73.70576
2020,EPRS,,42.01614
2020,INST,,57.37828
2020,PCPR,,7.0461
2020,SOFT,,54.22074
2020,TRAF,,56.12567
2020,ARSP,여성,44.84588
2020,COPA,여성,76.67842
2020,EMAIL,여성,69.78239
2020,EPRS,여성,36.36079
2020,INST,여성,52.44113
2020,PCPR,여성,5.5791
2020,SOFT,여성,48.49577
2020,TRAF,여성,50.63021
2020,ARSP,남성,54.32733
2020,COPA,남성,83.52677
2020,EMAIL,남성,77.49303
2020,EPRS,남성,47.4753
2020,INST,남성,62.14417
2020,PCPR,남성,8.46221
2020,SOFT,남성,59.74711
2020,TRAF,남성,61.43049
2021,ARSP,,53.73528
2021,COPA,,97.28081
2021,EMAIL,,92.4157
2021,EPRS,,46.60298
2021,INST,,76.0702
2021,PCPR,,10.2595
2021,SOFT,,83.61901
2021,TRAF,,73.32335
2021,ARSP,여성,47.96951
2021,COPA,여성,96.56968
2021,EMAIL,여성,91.17671
2021,EPRS,여성,41.22932
2021,INST,여성,75.05724
2021,PCPR,여성,8.56546
2021,SOFT,여성,82.85734
2021,TRAF,여성,71.37065
2021,ARSP,남성,59.30255
2021,COPA,남성,97.96747
2021,EMAIL,남성,93.61204
2021,EPRS,남성,51.79163
2021,INST,남성,77.04829
2021,PCPR,남성,11.89521
2021,SOFT,남성,84.35446
2021,TRAF,남성,75.20882
