Year,성폭력 유형,성별,Value
2019,신체적 접촉을 수반한 성폭력,,0.4
2019,신체적 접촉을 수반한 성폭력,여성,0.8
2019,신체적 접촉을 수반한 성폭력,남성,0.0
2019,음란전화,,2.1
2019,음란전화,여성,2.0
2019,음란전화,남성,2.3
2019,불법촬영,,0.1
2019,불법촬영,여성,0.1
2019,불법촬영,남성,0.0
2019,성기노출,,0.3
2019,성기노출,여성,0.6
2019,성기노출,남성,0.1
2019,성희롱,,0.4
2019,성희롱,여성,0.8
2019,성희롱,남성,0.0
2016,신체적 접촉을 수반한 성폭력,,0.8
2016,신체적 접촉을 수반한 성폭력,여성,1.5
2016,신체적 접촉을 수반한 성폭력,남성,0.1
2016,음란전화,,5.5
2016,음란전화,여성,4.0
2016,음란전화,남성,7.0
2016,불법촬영,,0.1
2016,불법촬영,여성,0.1
2016,불법촬영,남성,0.0
2016,성기노출,,1.0
2016,성기노출,여성,1.6
2016,성기노출,남성,0.4
2016,성희롱,,0.5
2016,성희롱,여성,0.9
2016,성희롱,남성,0.1
2013,신체적 접촉을 수반한 성폭력,,1.5
2013,신체적 접촉을 수반한 성폭력,여성,2.7
2013,신체적 접촉을 수반한 성폭력,남성,0.3
2013,음란전화,,27.8
2013,음란전화,여성,26.4
2013,음란전화,남성,29.2
2013,불법촬영,,
2013,불법촬영,여성,
2013,불법촬영,남성,
2013,성기노출,,1.7
2013,성기노출,여성,3.0
2013,성기노출,남성,0.3
2013,성희롱,,0.9
2013,성희롱,여성,1.9
2013,성희롱,남성,0.0
