Year,장치유형별,성별,연령별,Value
2018,모바일기기,,,91.4
2018,모바일기기,남성,,83.8
2018,모바일기기,여성,,89.0
2018,모바일기기,,6-10,96.9
2018,모바일기기,,20-29,99.9
2018,모바일기기,,30-39,99.9
2018,모바일기기,,40-49,99.8
2018,모바일기기,,50-59,98.5
2018,모바일기기,,60-69,87.7
2018,모바일기기,,70+,37.5
2018,스마트폰,,,91.0
2018,스마트폰,남성,,93.4
2018,스마트폰,여성,,88.6
2018,스마트폰,,6-10,95.5
2018,스마트폰,,20-29,99.9
2018,스마트폰,,30-39,99.9
2018,스마트폰,,40-49,99.7
2018,스마트폰,,50-59,98.4
2018,스마트폰,,60-69,87.5
2018,스마트폰,,70+,36.3
2018,,,,8.2
2018,,남성,,6.0
2018,,여성,,10.4
2018,,,6-10,1.8
2018,,,20-29,0.3
2018,,,30-39,0.1
2018,,,40-49,0.4
2018,,,50-59,1.8
2018,,,60-69,12.9
2018,,,70+,58.4
2019,모바일기기,,,92.4
2019,모바일기기,남성,,94.5
2019,모바일기기,여성,,90.3
2019,모바일기기,,6-10,97.1
2019,모바일기기,,20-29,100.0
2019,모바일기기,,30-39,99.9
2019,모바일기기,,40-49,99.9
2019,모바일기기,,50-59,99.8
2019,모바일기기,,60-69,92.0
2019,모바일기기,,70+,41.0
2019,스마트폰,,,92.2
2019,스마트폰,남성,,94.4
2019,스마트폰,여성,,90.0
2019,스마트폰,,6-10,96.6
2019,스마트폰,,20-29,99.9
2019,스마트폰,,30-39,99.9
2019,스마트폰,,40-49,99.9
2019,스마트폰,,50-59,99.8
2019,스마트폰,,60-69,92.0
2019,스마트폰,,70+,40.2
2019,,,,8.1
2019,,남성,,6.2
2019,,여성,,10.1
2019,,,6-10,2.1
2019,,,20-29,0.4
2019,,,30-39,0.6
2019,,,40-49,1.4
2019,,,50-59,1.6
2019,,,60-69,10.6
2019,,,70+,56.1
