Year,구분,Value
2000,공업,64.55
2001,공업,60.89
2002,공업,61.37
2003,공업,63.91
2004,공업,71.24
2005,공업,73.13
2006,공업,75.5
2007,공업,79.96
2008,공업,81.73
2009,공업,82.53
2010,공업,91.18
2011,공업,96.23
2012,공업,97.33
2013,공업,100.87
2014,공업,101.9
2015,공업,104.19
2016,공업,107.67
2017,공업,113.99
2018,공업,115.55
2018,농업(ISIC4 A01 A0210 A0322),1.62
2016,농업(ISIC4 A01 A0210 A0322),1.53
2017,농업(ISIC4 A01 A0210 A0322),1.59
2012,농업(ISIC4 A01 A0210 A0322),1.54
2013,농업(ISIC4 A01 A0210 A0322),1.54
2014,농업(ISIC4 A01 A0210 A0322),1.57
2015,농업(ISIC4 A01 A0210 A0322),1.58
2010,농업(ISIC4 A01 A0210 A0322),1.43
2011,농업(ISIC4 A01 A0210 A0322),1.54
2008,농업(ISIC4 A01 A0210 A0322),1.3
2009,농업(ISIC4 A01 A0210 A0322),1.39
2004,농업(ISIC4 A01 A0210 A0322),1.39
2005,농업(ISIC4 A01 A0210 A0322),1.32
2006,농업(ISIC4 A01 A0210 A0322),1.37
2007,농업(ISIC4 A01 A0210 A0322),1.34
2002,농업(ISIC4 A01 A0210 A0322),1.28
2003,농업(ISIC4 A01 A0210 A0322),1.28
2000,농업(ISIC4 A01 A0210 A0322),1.26
2001,농업(ISIC4 A01 A0210 A0322),1.28
2000,서비스업(ISIC4 G to T),74.13
2002,서비스업(ISIC4 G to T),58.82
2001,서비스업(ISIC4 G to T),64.5
2003,서비스업(ISIC4 G to T),65.23
2004,서비스업(ISIC4 G to T),72.51
2006,서비스업(ISIC4 G to T),87.9
2005,서비스업(ISIC4 G to T),82.83
2007,서비스업(ISIC4 G to T),92.91
2008,서비스업(ISIC4 G to T),95.82
2009,서비스업(ISIC4 G to T),96.26
2011,서비스업(ISIC4 G to T),102.71
2010,서비스업(ISIC4 G to T),100.15
2014,서비스업(ISIC4 G to T),113.14
2012,서비스업(ISIC4 G to T),105.52
2016,서비스업(ISIC4 G to T),130.96
2013,서비스업(ISIC4 G to T),108.81
2015,서비스업(ISIC4 G to T),129.97
2017,서비스업(ISIC4 G to T),133.05
2018,서비스업(ISIC4 G to T),137.47
2018,기타(분류 안됨),53.81
2016,기타(분류 안됨),50.86
2017,기타(분류 안됨),52.45
2015,기타(분류 안됨),49.71
2013,기타(분류 안됨),42.72
2012,기타(분류 안됨),41.45
2014,기타(분류 안됨),44.12
2010,기타(분류 안됨),39.04
2011,기타(분류 안됨),40.54
2008,기타(분류 안됨),36.36
2009,기타(분류 안됨),36.79
2006,기타(분류 안됨),33.59
2007,기타(분류 안됨),35.44
2005,기타(분류 안됨),29.93
2004,기타(분류 안됨),30.1
2003,기타(분류 안됨),27.89
2002,기타(분류 안됨),26.3
2000,기타(분류 안됨),26.54
2001,기타(분류 안됨),26.04
