Year,거주지역별,Value
2000,,100.0
2000,농촌,100.0
2000,도시,99.99666
2001,,100.0
2001,농촌,100.0
2001,도시,100.0
2002,,100.0
2002,농촌,100.0
2002,도시,100.0
2003,,100.0
2003,농촌,100.0
2003,도시,100.0
2004,,100.0
2004,농촌,100.0
2004,도시,100.0
2005,,100.0
2005,농촌,100.0
2005,도시,100.0
2006,,100.0
2006,농촌,100.0
2006,도시,100.0
2007,,100.0
2007,농촌,100.0
2007,도시,100.0
2008,,100.0
2008,농촌,100.0
2008,도시,100.0
2009,,100.0
2009,농촌,100.0
2009,도시,100.0
2010,,100.0
2010,농촌,100.0
2010,도시,100.0
2011,,100.0
2011,농촌,100.0
2011,도시,100.0
2012,,100.0
2012,농촌,100.0
2012,도시,100.0
2013,,100.0
2013,농촌,100.0
2013,도시,100.0
2014,,100.0
2014,농촌,100.0
2014,도시,100.0
2015,,100.0
2015,농촌,100.0
2015,도시,100.0
2016,,100.0
2016,농촌,100.0
2016,도시,100.0
2017,,100.0
2017,농촌,100.0
2017,도시,100.0
