Year,Units,data.Type_of_product,Value
2000,1인당 국내물질소비량(톤),바이오매스,1.65269
2000,1인당 국내물질소비량(톤),석탄,1.54464
2000,1인당 국내물질소비량(톤),작물잔해,0.15259
2000,1인당 국내물질소비량(톤),작물,0.91844
2000,1인당 국내물질소비량(톤),철광석,0.9254
2000,1인당 국내물질소비량(톤),화석연료,4.10746
2000,1인당 국내물질소비량(톤),천연가스,0.30803
2000,1인당 국내물질소비량(톤),사료작물,0.34662
2000,1인당 국내물질소비량(톤),금속광석,1.06407
2000,1인당 국내물질소비량(톤),비금속광석,0.9254
2000,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.24991
2000,1인당 국내물질소비량(톤),건설 비금속광물,8.85665
2000,1인당 국내물질소비량(톤),비급속광물,8.92114
2000,1인당 국내물질소비량(톤),석유,2.25479
2000,1인당 국내물질소비량(톤),RAW,15.74537
2000,1인당 국내물질소비량(톤),자연수확,0.04336
2000,1인당 국내물질소비량(톤),나무,0.15908
2001,1인당 국내물질소비량(톤),바이오매스,1.61969
2001,1인당 국내물질소비량(톤),석탄,1.55126
2001,1인당 국내물질소비량(톤),작물잔해,0.1558
2001,1인당 국내물질소비량(톤),작물,0.94454
2001,1인당 국내물질소비량(톤),철광석,1.02589
2001,1인당 국내물질소비량(톤),화석연료,4.05815
2001,1인당 국내물질소비량(톤),천연가스,0.33891
2001,1인당 국내물질소비량(톤),사료작물,0.28378
2001,1인당 국내물질소비량(톤),금속광석,1.16271
2001,1인당 국내물질소비량(톤),비금속광석,1.02589
2001,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.23076
2001,1인당 국내물질소비량(톤),건설 비금속광물,9.25969
2001,1인당 국내물질소비량(톤),비급속광물,9.36845
2001,1인당 국내물질소비량(톤),석유,2.16797
2001,1인당 국내물질소비량(톤),RAW,16.20898
2001,1인당 국내물질소비량(톤),자연수확,0.05525
2001,1인당 국내물질소비량(톤),나무,0.16702
2002,1인당 국내물질소비량(톤),바이오매스,1.56189
2002,1인당 국내물질소비량(톤),석탄,1.56899
2002,1인당 국내물질소비량(톤),작물잔해,0.14309
2002,1인당 국내물질소비량(톤),작물,0.95201
2002,1인당 국내물질소비량(톤),철광석,1.0646
2002,1인당 국내물질소비량(톤),화석연료,4.09756
2002,1인당 국내물질소비량(톤),천연가스,0.37152
2002,1인당 국내물질소비량(톤),사료작물,0.27015
2002,1인당 국내물질소비량(톤),금속광석,1.20614
