Year,Category,Value
2006,약정액,218.13744
2007,약정액,556.19098
2008,약정액,755.02785
2009,약정액,1256.6457
2010,약정액,841.05252
2011,약정액,847.33444
2012,약정액,877.113999999999
2013,약정액,763.89936
2014,약정액,1103.88698
2015,약정액,960.761959999999
2016,약정액,1095.05299
2017,약정액,1222.16063
2018,약정액,1552.4664
2006,집행액,166.02126
2007,집행액,181.51107
2008,집행액,278.34209
2009,집행액,316.26194
2010,집행액,395.22283
2011,집행액,457.856259999999
2012,집행액,482.58247
2013,집행액,588.43635
2014,집행액,551.05967
2015,집행액,632.84669
2016,집행액,609.82249
2017,집행액,574.63669
2018,집행액,649.56455
