Year,Units,교통수단별,Value
2011,국내 승객량,철도,1118621.0
2012,국내 승객량,철도,1149340.0
2013,국내 승객량,철도,1224820.0
2014,국내 승객량,철도,1263472.0
2015,국내 승객량,철도,1269417.0
2016,국내 승객량,철도,1449534.0
2017,국내 승객량,철도,1490257.0
2011,국내 승객량,지하철,2358758.0
2012,국내 승객량,지하철,2410931.0
2013,국내 승객량,지하철,2476394.0
2014,국내 승객량,지하철,2526167.0
2015,국내 승객량,지하철,2522900.0
2016,국내 승객량,지하철,3572127.0
2017,국내 승객량,지하철,3604710.0
2011,국내 승객량,공로,25943079.0
2012,국내 승객량,공로,25982998.0
2013,국내 승객량,공로,26327678.0
2014,국내 승객량,공로,26678513.0
2015,국내 승객량,공로,27193794.0
2016,국내 승객량,공로,28090714.0
2017,국내 승객량,공로,28192366.0
2011,국내 승객량,해상운송,14266.0
2012,국내 승객량,해상운송,14538.0
2013,국내 승객량,해상운송,16063.0
2014,국내 승객량,해상운송,14271.0
2015,국내 승객량,해상운송,15381.0
2016,국내 승객량,해상운송,15423.0
2017,국내 승객량,해상운송,16910.0
2011,국내 승객량,항공운수,20981.0
2012,국내 승객량,항공운수,21602.0
2013,국내 승객량,항공운수,22353.0
2014,국내 승객량,항공운수,24648.0
2015,국내 승객량,항공운수,27980.0
2016,국내 승객량,항공운수,30913.0
2017,국내 승객량,항공운수,32406.0
2011,국제 승객량,해상운송,2660.0
2012,국제 승객량,해상운송,2881.0
2013,국제 승객량,해상운송,2737.0
2014,국제 승객량,해상운송,2646.0
2015,국제 승객량,해상운송,2617.0
2016,국제 승객량,해상운송,2777.0
2017,국제 승객량,해상운송,2728.0
2011,국제 승객량,항공운수,42649.0
2012,국제 승객량,항공운수,47703.0
2013,국제 승객량,항공운수,50987.0
2014,국제 승객량,항공운수,56779.0
2015,국제 승객량,항공운수,61434.0
2016,국제 승객량,항공운수,73001.0
2017,국제 승객량,항공운수,76956.0
2011,국내 화물량,철도,40012.0
2012,국내 화물량,철도,40309.0
2013,국내 화물량,철도,39822.0
2014,국내 화물량,철도,37379.0
2015,국내 화물량,철도,37094.0
2016,국내 화물량,철도,32555.0
2017,국내 화물량,철도,31670.0
2011,국내 화물량,공로,1439625.0
2012,국내 화물량,공로,1554510.0
2013,국내 화물량,공로,1546407.0
2014,국내 화물량,공로,1512700.0
2015,국내 화물량,공로,1761291.0
2016,국내 화물량,공로,1799565.0
2017,국내 화물량,공로,
2011,국내 화물량,해상운송,125588.0
2012,국내 화물량,해상운송,119057.0
2013,국내 화물량,해상운송,117860.0
2014,국내 화물량,해상운송,117920.0
2015,국내 화물량,해상운송,128611.0
2016,국내 화물량,해상운송,143227.0
2017,국내 화물량,해상운송,142587.0
2011,국내 화물량,항공운수,281.0
2012,국내 화물량,항공운수,265.0
2013,국내 화물량,항공운수,253.0
2014,국내 화물량,항공운수,283.0
2015,국내 화물량,항공운수,288.0
2016,국내 화물량,항공운수,293.0
2017,국내 화물량,항공운수,290.0
2011,국제 화물량,해상운송,1069566.0
2012,국제 화물량,해상운송,1108538.0
2013,국제 화물량,해상운송,1123205.0
2014,국제 화물량,해상운송,1184641.0
2015,국제 화물량,해상운송,1216782.0
2016,국제 화물량,해상운송,1242597.0
2017,국제 화물량,해상운송,1312489.0
2011,국제 화물량,항공운수,3238.0
2012,국제 화물량,항공운수,3209.0
2013,국제 화물량,항공운수,3246.0
2014,국제 화물량,항공운수,3411.0
2015,국제 화물량,항공운수,3519.0
2016,국제 화물량,항공운수,3781.0
2017,국제 화물량,항공운수,4032.0
