Year,Value,Units
2000,2514225,생산량
2001,2665124,생산량
2002,2476188,생산량
2003,2487042,생산량
2004,2519101,생산량
2005,2714050,생산량
2006,3032116,생산량
2007,3274823,생산량
2008,3361255,생산량
2009,3182342,생산량
2010,3110634,생산량
2011,3255929,생산량
2012,3183424,생산량
2013,3135250,생산량
2014,3304228,생산량
2015,3337383,생산량
2016,3269432,생산량
2017,3724711,생산량
2018,3770057,생산량
2019,3860969,생산량
2020,3712873,생산량
2021 p),3820048,생산량
2000,4066447411,생산금액
2001,4252897861,생산금액
2002,4205241656,생산금액
2003,4770818670,생산금액
2004,4731322329,생산금액
2005,5049321385,생산금액
2006,5285860057,생산금액
2007,5751945576,생산금액
2008,6345058101,생산금액
2009,6924248502,생산금액
2010,7425685572,생산금액
2011,8072860450,생산금액
2012,7689050760,생산금액
2013,7226886951,생산금액
2014,7351991851,생산금액
2015,7257464629,생산금액
2016,7476747061,생산금액
2017,8566870876,생산금액
2018,8608418348,생산금액
2019,8366328166,생산금액
2020,8832970810,생산금액
2021 p),9269188974,생산금액
