Year,Value,Units
2001,1.598,농업지향지수
2002,1.616,농업지향지수
2003,1.655,농업지향지수
2004,1.502,농업지향지수
2005,1.716,농업지향지수
2006,2.043,농업지향지수
2007,2.101,농업지향지수
2008,2.201,농업지향지수
2009,1.897,농업지향지수
2010,2.086,농업지향지수
2011,2.154,농업지향지수
2012,1.955,농업지향지수
2013,1.939,농업지향지수
2014,1.809,농업지향지수
2015,2.059,농업지향지수
2016,2.174,농업지향지수
2017,2.163,농업지향지수
2018,2.321,농업지향지수
2019,2.04,농업지향지수
2020,1.8,농업지향지수
2021,2.04,농업지향지수
2001,5.69974,정부지출 중 농업지출 비율(%)
2002,5.18095,정부지출 중 농업지출 비율(%)
2003,4.90677,정부지출 중 농업지출 비율(%)
2004,4.44192,정부지출 중 농업지출 비율(%)
2005,4.49618,정부지출 중 농업지출 비율(%)
2006,5.1013,정부지출 중 농업지출 비율(%)
2007,4.79824,정부지출 중 농업지출 비율(%)
2008,4.71453,정부지출 중 농업지출 비율(%)
2009,4.25093,정부지출 중 농업지출 비율(%)
2010,4.47172,정부지출 중 농업지출 비율(%)
2011,4.7592,정부지출 중 농업지출 비율(%)
2012,4.27384,정부지출 중 농업지출 비율(%)
2013,4.06971,정부지출 중 농업지출 비율(%)
2014,3.72095,정부지출 중 농업지출 비율(%)
2015,4.12655,정부지출 중 농업지출 비율(%)
2016,4.04131,정부지출 중 농업지출 비율(%)
2017,4.0,정부지출 중 농업지출 비율(%)
2018,4.05,정부지출 중 농업지출 비율(%)
2019,3.41,정부지출 중 농업지출 비율(%)
2020,3.17,정부지출 중 농업지출 비율(%)
2021,3.66,정부지출 중 농업지출 비율(%)
2001,3.56582,GDP 중 농업부가가치 비율(%)
2002,3.2068,GDP 중 농업부가가치 비율(%)
2003,2.9646,GDP 중 농업부가가치 비율(%)
2004,2.95802,GDP 중 농업부가가치 비율(%)
2005,2.61998,GDP 중 농업부가가치 비율(%)
2006,2.49747,GDP 중 농업부가가치 비율(%)
2007,2.28341,GDP 중 농업부가가치 비율(%)
2008,2.14225,GDP 중 농업부가가치 비율(%)
2009,2.24056,GDP 중 농업부가가치 비율(%)
2010,2.14402,GDP 중 농업부가가치 비율(%)
2011,2.2092,GDP 중 농업부가가치 비율(%)
2012,2.18619,GDP 중 농업부가가치 비율(%)
2013,2.09905,GDP 중 농업부가가치 비율(%)
2014,2.05668,GDP 중 농업부가가치 비율(%)
2015,2.00391,GDP 중 농업부가가치 비율(%)
2016,1.85903,GDP 중 농업부가가치 비율(%)
2017,1.85076,GDP 중 농업부가가치 비율(%)
2018,1.7464,GDP 중 농업부가가치 비율(%)
2019,1.67,GDP 중 농업부가가치 비율(%)
2020,1.77,GDP 중 농업부가가치 비율(%)
2021,1.79,GDP 중 농업부가가치 비율(%)
