Year,Value,Units
2000,100,중학교
2000,	,유치원
2000,100,초등학교
2000,100,중고등학교
2000,100,고등학교
2001,100,중학교
2001,	,유치원
2001,100,초등학교
2001,100,중고등학교
2001,100,고등학교
2002,100,중학교
2002,	,유치원
2002,100,초등학교
2002,100,중고등학교
2002,100,고등학교
2003,100,중학교
2003,	,유치원
2003,100,초등학교
2003,100,중고등학교
2003,100,고등학교
2004,100,중학교
2004,	,유치원
2004,100,초등학교
2004,100,중고등학교
2004,100,고등학교
2005,100,중학교
2005,	,유치원
2005,100,초등학교
2005,100,중고등학교
2005,100,고등학교
2006,100,중학교
2006,	,유치원
2006,100,초등학교
2006,100,중고등학교
2006,100,고등학교
2007,100,중학교
2007,	,유치원
2007,100,초등학교
2007,100,중고등학교
2007,100,고등학교
2008,100,중학교
2008,	,유치원
2008,100,초등학교
2008,100,중고등학교
2008,100,고등학교
2009,100,중학교
2009,	,유치원
2009,100,초등학교
2009,100,중고등학교
2009,100,고등학교
2010,100,중학교
2010,	,유치원
2010,100,초등학교
2010,100,중고등학교
2010,100,고등학교
2011,100,중학교
2011,100	,유치원
2011,100,초등학교
2011,100,중고등학교
2011,100,고등학교
2012,100,중학교
2012,	,유치원
2012,100,초등학교
2012,100,중고등학교
2012,100,고등학교
2013,100,중학교
2013,100	,유치원
2013,100,초등학교
2013,100,중고등학교
2013,100,고등학교
2014,100,중학교
2014,100	,유치원
2014,100,초등학교
2014,100,중고등학교
2014,100,고등학교
2015,100,중학교
2015,100	,유치원
2015,100,초등학교
2015,100,중고등학교
2015,100,고등학교
2016,100,중학교
2016,100	,유치원
2016,100,초등학교
2016,100,중고등학교
2016,100,고등학교
2017,100,중학교
2017,100	,유치원
2017,100,초등학교
2017,100,중고등학교
2017,100,고등학교
2018,100,중학교
2018,100	,유치원
2018,100,초등학교
2018,100,중고등학교
2018,100,고등학교
2019,100,중학교
2019,100	,유치원
2019,100,초등학교
2019,100,중고등학교
2019,100,고등학교
2020,100,중학교
2020,100	,유치원
2020,100,초등학교
2020,100,중고등학교
2020,100,고등학교
