Year,data.category,Value
2006,data.Industrial_waste,59.4218753245571
2007,data.Industrial_waste,66.8427883317219
2008,data.Industrial_waste,70.8191712170231
2009,data.Industrial_waste,66.4667272363943
2010,data.Industrial_waste,72.2585675430644
2011,data.Industrial_waste,73.0283668151391
2012,data.Industrial_waste,76.4901250355215
2013,data.Industrial_waste,75.3598516872795
2014,data.Industrial_waste,77.2661133179057
2015,data.Industrial_waste,78.1664525725103
2016,data.Industrial_waste,79.0639423323047
2017,data.Industrial_waste,80.5915643819215
2018,data.Industrial_waste,81.6266204168801
2006,data.Domestic_waste,55.7938203812998
2007,data.Domestic_waste,57.9986751482237
2008,data.Domestic_waste,59.2057044304441
2009,data.Domestic_waste,60.3973311663316
2010,data.Domestic_waste,59.3852943763991
2011,data.Domestic_waste,57.6085018453069
2012,data.Domestic_waste,57.6983109292531
2013,data.Domestic_waste,56.9185081407997
2014,data.Domestic_waste,57.969033318223
2015,data.Domestic_waste,58.4713161580422
2016,data.Domestic_waste,58.5253506906026
2017,data.Domestic_waste,59.4617953338118
2018,data.Domestic_waste,59.4122264932309
2005,data.Construction_waste,96.7239962183334
2006,data.Construction_waste,96.9736349224102
2007,data.Construction_waste,97.5000145344612
2008,data.Construction_waste,97.542042298182
2009,data.Construction_waste,97.7777026334219
2010,data.Construction_waste,98.2486003849082
2011,data.Construction_waste,98.0769478352856
2012,data.Construction_waste,97.2489196451775
2013,data.Construction_waste,97.4887448191843
2014,data.Construction_waste,97.8790327452876
2015,data.Construction_waste,97.5311686988487
2016,data.Construction_waste,98.0967088506047
2017,data.Construction_waste,98.0649296653039
2018,data.Construction_waste,98.2598287806431
2005,data.Specified_waste,61.1
2006,data.Specified_waste,54.8
2007,data.Specified_waste,54.0
2008,data.Specified_waste,56.5
2009,data.Specified_waste,56.8
2010,data.Specified_waste,56.1
2011,data.Specified_waste,57.1
2012,data.Specified_waste,54.4
2013,data.Specified_waste,59.1
2014,data.Specified_waste,57.3
2015,data.Specified_waste,57.5
2016,data.Specified_waste,56.0
2017,data.Specified_waste,56.2
2018,data.Specified_waste,60.0
