Year,Units,Value
2010,Countries_commitments_to_global_conventions/_international_agreements_,1
2016,Countries_commitments_to_global_conventions/_international_agreements_,1
2020,Countries_commitments_to_global_conventions/_international_agreements_,1
2022,Countries_commitments_to_global_conventions/_international_agreements_,1
2016,National_Biodiversity_Strategy_and_Action_Plan_(NBSAP)_targets_alignment_to_Aichi_Biodiversity_target_9,1
2020,National_Biodiversity_Strategy_and_Action_Plan_(NBSAP)_targets_alignment_to_Aichi_Biodiversity_target_9,1
2022,National_Biodiversity_Strategy_and_Action_Plan_(NBSAP)_targets_alignment_to_Aichi_Biodiversity_target_9,1
2020,Countries_commitments_to_global_conventions/_international_agreements_,1
2022,Countries_commitments_to_global_conventions/_international_agreements_,1
2020,National_Biodiversity_Strategy_and_Action_Plan_(NBSAP)_targets_alignment_to_Aichi_Biodiversity_target_9,0
2022,National_Biodiversity_Strategy_and_Action_Plan_(NBSAP)_targets_alignment_to_Aichi_Biodiversity_target_9,0
