Year,data.Sex,Value
2001,,30.2
2001,data.Male,61.3
2001,data.Female,5.3
2005,,28.8
2005,data.Male,52.3
2005,data.Female,5.7
2007,,25.0
2007,data.Male,45.1
2007,data.Female,5.3
2008,,27.3
2008,data.Male,47.7
2008,data.Female,7.3
2009,,26.6
2009,data.Male,46.7
2009,data.Female,6.9
2010,,26.9
2010,data.Male,48.1
2010,data.Female,6.1
2011,,26.3
2011,data.Male,46.8
2011,data.Female,6.5
2012,,25.0
2012,data.Male,43.3
2012,data.Female,7.4
2013,,23.2
2013,data.Male,41.4
2013,data.Female,5.7
2014,,23.3
2014,data.Male,42.3
2014,data.Female,5.1
2015,,21.6
2015,data.Male,38.3
2015,data.Female,5.3
2016,,22.6
2016,data.Male,39.4
2016,data.Female,6.1
2017,,21.1
2017,data.Male,37.0
2017,data.Female,5.2
2018,,21.1
2018,data.Male,35.8
2018,data.Female,6.5
