Year,data.Residential_area,Value
2000,,100.0
2000,data.Rural,100.0
2000,data.Urban,99.99666
2001,,100.0
2001,data.Rural,100.0
2001,data.Urban,100.0
2002,,100.0
2002,data.Rural,100.0
2002,data.Urban,100.0
2003,,100.0
2003,data.Rural,100.0
2003,data.Urban,100.0
2004,,100.0
2004,data.Rural,100.0
2004,data.Urban,100.0
2005,,100.0
2005,data.Rural,100.0
2005,data.Urban,100.0
2006,,100.0
2006,data.Rural,100.0
2006,data.Urban,100.0
2007,,100.0
2007,data.Rural,100.0
2007,data.Urban,100.0
2008,,100.0
2008,data.Rural,100.0
2008,data.Urban,100.0
2009,,100.0
2009,data.Rural,100.0
2009,data.Urban,100.0
2010,,100.0
2010,data.Rural,100.0
2010,data.Urban,100.0
2011,,100.0
2011,data.Rural,100.0
2011,data.Urban,100.0
2012,,100.0
2012,data.Rural,100.0
2012,data.Urban,100.0
2013,,100.0
2013,data.Rural,100.0
2013,data.Urban,100.0
2014,,100.0
2014,data.Rural,100.0
2014,data.Urban,100.0
2015,,100.0
2015,data.Rural,100.0
2015,data.Urban,100.0
2016,,100.0
2016,data.Rural,100.0
2016,data.Urban,100.0
2017,,100.0
2017,data.Rural,100.0
2017,data.Urban,100.0
2018,,100.0
2018,data.Rural,100.0
2018,data.Urban,100.0
2019,,100.0
2019,data.Rural,100.0
2019,data.Urban,100.0
