Year,Category,Value
2006,data.Commitments,204.3603
2007,data.Commitments,521.1345
2008,data.Commitments,708.2957
2009,data.Commitments,1177.0781
2010,data.Commitments,787.8158
2011,data.Commitments,793.6834
2012,data.Commitments,821.5773
2013,data.Commitments,715.5312
2014,data.Commitments,1033.9917
2015,data.Commitments,899.9288
2016,data.Commitments,1025.717
2017,data.Commitments,1144.7766
2018,data.Commitments,1453.9969
2019,data.Commitments,1403.4886
2020,data.Commitments,502.1035
2006,data.Disbursement,155.0
2007,data.Disbursement,170.0
2008,data.Disbursement,261.0
2009,data.Disbursement,296.0
2010,data.Disbursement,370.0
2011,data.Disbursement,428.0
2012,data.Disbursement,451.0
2013,data.Disbursement,551.0
2014,data.Disbursement,516.0
2015,data.Disbursement,592.0
2016,data.Disbursement,571.0
2017,data.Disbursement,538.0
2018,data.Disbursement,608.0
2019,data.Disbursement,687.0
2020,data.Disbursement,411.0
