Year,data.Sex,data.Age,Value
2017,,,17001.0
2017,,data.0~19,141.0
2017,,data.20~29,436.0
2017,,data.30~39,2143.0
2017,,data.40~49,3921.0
2017,,data.50~59,4421.0
2017,,data.60~69,3289.0
2017,,data.70~79,2076.0
2017,,data.80~,1273.0
2017,data.Male,,9648.8
2017,data.Male,data.0~19,88.4
2017,data.Male,data.20~29,258.2
2017,data.Male,data.30~39,1280.8
2017,data.Male,data.40~49,2168.3
2017,data.Male,data.50~59,2388.0
2017,data.Male,data.60~69,1834.8
2017,data.Male,data.70~79,1192.4
2017,data.Male,data.80~,850.8
2017,data.Female,,7352.2
2017,data.Female,data.0~19,52.6
2017,data.Female,data.20~29,177.8
2017,data.Female,data.30~39,862.2
2017,data.Female,data.40~49,1752.7
2017,data.Female,data.50~59,2033.0
2017,data.Female,data.60~69,1454.2
2017,data.Female,data.70~79,883.6
2017,data.Female,data.80~,422.2
2018,,,17322.1
2018,,data.0~19,41.6
2018,,data.20~29,343.9
2018,,data.30~39,2051.7
2018,,data.40~49,3794.3
2018,,data.50~59,4425.4
2018,,data.60~69,3349.0
2018,,data.70~79,2053.7
2018,,data.80~,1262.5
2018,data.Male,,9759.8
2018,data.Male,data.0~19,25.8
2018,data.Male,data.20~29,201.9
2018,data.Male,data.30~39,1222.8
2018,data.Male,data.40~49,2101.6
2018,data.Male,data.50~59,2362.6
2018,data.Male,data.60~69,1845.3
2018,data.Male,data.70~79,1165.7
2018,data.Male,data.80~,834.2
2018,data.Female,,7562.3
2018,data.Female,data.0~19,15.8
2018,data.Female,data.20~29,141.9
2018,data.Female,data.30~39,828.9
2018,data.Female,data.40~49,1692.7
2018,data.Female,data.50~59,2062.9
2018,data.Female,data.60~69,1503.7
2018,data.Female,data.70~79,888.0
2018,data.Female,data.80~,428.3
2019,,,17674.817
2019,,data.0~19,42.622
2019,,data.20~29,343.637
2019,,data.30~39,1972.863
2019,,data.40~49,3788.656
2019,,data.50~59,4491.063
2019,,data.60~69,3552.955
2019,,data.70~79,2119.058
2019,,data.80~,1363.963
2019,data.Male,,9892.711
2019,data.Male,data.0~19,26.231
2019,data.Male,data.20~29,200.997
2019,data.Male,data.30~39,1175.444
2019,data.Male,data.40~49,2102.544
2019,data.Male,data.50~59,2377.852
2019,data.Male,data.60~69,1931.324
2019,data.Male,data.70~79,1188.466
2019,data.Male,data.80~,889.853
2019,data.Female,,7782.106
2019,data.Female,data.0~19,16.391
2019,data.Female,data.20~29,142.64
2019,data.Female,data.30~39,797.419
2019,data.Female,data.40~49,1686.112
2019,data.Female,data.50~59,2113.211
2019,data.Female,data.60~69,1621.631
2019,data.Female,data.70~79,930.592
2019,data.Female,data.80~,474.11
