Year,data.Access_point,data.Transportation,data.Time(min),Value
2016,data.Train_station,data.Car,15,28.04
2016,data.Train_station,data.Car,30,91.06
2016,data.Train_station,data.Car,45,100.0
2016,data.Train_station,data.Car,60,100.0
2016,data.Train_station,data.Public_transportation/walking,15,7.44
2016,data.Train_station,data.Public_transportation/walking,30,46.55
2016,data.Train_station,data.Public_transportation/walking,45,96.53
2016,data.Train_station,data.Public_transportation/walking,60,100.0
2016,data.Bus_terminal,data.Car,15,39.81
2016,data.Bus_terminal,data.Car,30,97.98
2016,data.Bus_terminal,data.Car,45,99.99
2016,data.Bus_terminal,data.Car,60,100.0
2016,data.Bus_terminal,data.Public_transportation/walking,15,14.46
2016,data.Bus_terminal,data.Public_transportation/walking,30,74.57
2016,data.Bus_terminal,data.Public_transportation/walking,45,99.78
2016,data.Bus_terminal,data.Public_transportation/walking,60,100.0
2016,data.Airport,data.Car,15,1.54
2016,data.Airport,data.Car,30,12.74
2016,data.Airport,data.Car,45,39.26
2016,data.Airport,data.Car,60,69.61
2016,data.Airport,data.Public_transportation/walking,15,0.0
2016,data.Airport,data.Public_transportation/walking,30,1.78
2016,data.Airport,data.Public_transportation/walking,45,13.16
2016,data.Airport,data.Public_transportation/walking,60,37.03
2017,data.Train_station,data.Car,15,34.8953224237088
2017,data.Train_station,data.Car,30,73.9112703502029
2017,data.Train_station,data.Car,45,91.4960537881668
2017,data.Train_station,data.Car,60,95.8387728505812
2017,data.Train_station,data.Public_transportation/walking,15,11.3272070941258
2017,data.Train_station,data.Public_transportation/walking,30,50.4016406776557
2017,data.Train_station,data.Public_transportation/walking,45,73.4022486286663
2017,data.Train_station,data.Public_transportation/walking,60,85.5233412874097
2017,data.Bus_terminal,data.Car,15,38.136217896449
2017,data.Bus_terminal,data.Car,30,84.2879062317106
2017,data.Bus_terminal,data.Car,45,98.8346545446516
2017,data.Bus_terminal,data.Car,60,99.6887821592613
2017,data.Bus_terminal,data.Public_transportation/walking,15,11.6690939463597
2017,data.Bus_terminal,data.Public_transportation/walking,30,54.7135894371703
2017,data.Bus_terminal,data.Public_transportation/walking,45,87.1214319849489
2017,data.Bus_terminal,data.Public_transportation/walking,60,93.9772556228378
2017,data.Airport,data.Car,15,2.48620360423179
2017,data.Airport,data.Car,30,17.7067828573616
2017,data.Airport,data.Car,45,38.4850715714936
2017,data.Airport,data.Car,60,56.1467898829335
2017,data.Airport,data.Public_transportation/walking,15,0.279025406517859
2017,data.Airport,data.Public_transportation/walking,30,4.52641102471855
2017,data.Airport,data.Public_transportation/walking,45,17.8746956446519
2017,data.Airport,data.Public_transportation/walking,60,36.3991817275168
2018,data.Train_station,data.Car,15,36.3754854012572
2018,data.Train_station,data.Car,30,74.2886946285633
2018,data.Train_station,data.Car,45,91.388242334711
2018,data.Train_station,data.Car,60,95.8244201125319
2018,data.Train_station,data.Public_transportation/walking,15,10.924121054958
2018,data.Train_station,data.Public_transportation/walking,30,51.7565223492801
2018,data.Train_station,data.Public_transportation/walking,45,75.0263526658109
2018,data.Train_station,data.Public_transportation/walking,60,86.2255785765487
2018,data.Bus_terminal,data.Car,15,41.3633763709363
2018,data.Bus_terminal,data.Car,30,86.4299663252245
2018,data.Bus_terminal,data.Car,45,98.9792004883433
2018,data.Bus_terminal,data.Car,60,99.7282347848791
2018,data.Bus_terminal,data.Public_transportation/walking,15,14.000506345085
2018,data.Bus_terminal,data.Public_transportation/walking,30,56.7505647115432
2018,data.Bus_terminal,data.Public_transportation/walking,45,87.7992261009257
2018,data.Bus_terminal,data.Public_transportation/walking,60,94.9296781042533
2018,data.Airport,data.Car,15,1.35282457437903
2018,data.Airport,data.Car,30,12.0193295283087
2018,data.Airport,data.Car,45,32.517831297841
2018,data.Airport,data.Car,60,48.5700765715475
2018,data.Airport,data.Public_transportation/walking,15,0.039652165651039
2018,data.Airport,data.Public_transportation/walking,30,1.37488087708858
2018,data.Airport,data.Public_transportation/walking,45,7.29896460260196
2018,data.Airport,data.Public_transportation/walking,60,20.6377139763727
2019,data.Train_station,data.Car,15,37.8696544428132
2019,data.Train_station,data.Car,30,74.6381253681757
2019,data.Train_station,data.Car,45,91.1609040121171
2019,data.Train_station,data.Car,60,95.7195792162493
2019,data.Train_station,data.Public_transportation/walking,15,8.28041177203323
2019,data.Train_station,data.Public_transportation/walking,30,47.3869512764427
2019,data.Train_station,data.Public_transportation/walking,45,71.9308881595642
2019,data.Train_station,data.Public_transportation/walking,60,84.7158910370077
2019,data.Bus_terminal,data.Car,15,42.1754350156667
2019,data.Bus_terminal,data.Car,30,88.9184451088587
2019,data.Bus_terminal,data.Car,45,99.168326635862
2019,data.Bus_terminal,data.Car,60,99.7032769277249
2019,data.Bus_terminal,data.Public_transportation/walking,15,10.063913342111
2019,data.Bus_terminal,data.Public_transportation/walking,30,52.68569171556
2019,data.Bus_terminal,data.Public_transportation/walking,45,86.0994145246895
2019,data.Bus_terminal,data.Public_transportation/walking,60,93.0981982431921
2019,data.Airport,data.Car,15,1.4783934556426
2019,data.Airport,data.Car,30,12.7252103464059
2019,data.Airport,data.Car,45,34.2296527048724
2019,data.Airport,data.Car,60,49.8313065778027
2019,data.Airport,data.Public_transportation/walking,15,0.0266350226374449
2019,data.Airport,data.Public_transportation/walking,30,1.18045417827165
2019,data.Airport,data.Public_transportation/walking,45,9.50717709567533
2019,data.Airport,data.Public_transportation/walking,60,28.1324897737218
