Year,data.Public_Services,data.Experiences,data.Satisfaction,Value
2016,data.Public_hearing,data.Experienced,data.1_(Not_at_all),12.7
2016,data.Public_hearing,data.Experienced,data.2_(Not_that_much),26.7
2016,data.Public_hearing,data.Experienced,data.3_(Normal),44.0
2016,data.Public_hearing,data.Experienced,data.4_(A_little_bit),16.2
2016,data.Public_hearing,data.Experienced,data.5_(Very_satisfactory),0.5
2016,data.Participatory_budgeting,data.Experienced,data.1_(Not_at_all),5.4
2016,data.Participatory_budgeting,data.Experienced,data.2_(Not_that_much),12.3
2016,data.Participatory_budgeting,data.Experienced,data.3_(Normal),38.3
2016,data.Participatory_budgeting,data.Experienced,data.4_(A_little_bit),40.6
2016,data.Participatory_budgeting,data.Experienced,data.5_(Very_satisfactory),3.4
2016,data.Community_center,data.Experienced,data.1_(Not_at_all),0.4
2016,data.Community_center,data.Experienced,data.2_(Not_that_much),2.3
2016,data.Community_center,data.Experienced,data.3_(Normal),22.6
2016,data.Community_center,data.Experienced,data.4_(A_little_bit),57.3
2016,data.Community_center,data.Experienced,data.5_(Very_satisfactory),17.3
2016,data.Licensing_service,data.Experienced,data.1_(Not_at_all),3.2
2016,data.Licensing_service,data.Experienced,data.2_(Not_that_much),5.4
2016,data.Licensing_service,data.Experienced,data.3_(Normal),42.1
2016,data.Licensing_service,data.Experienced,data.4_(A_little_bit),39.2
2016,data.Licensing_service,data.Experienced,data.5_(Very_satisfactory),10.1
2016,data.Online_official_documents,data.Experienced,data.1_(Not_at_all),1.5
2016,data.Online_official_documents,data.Experienced,data.2_(Not_that_much),4.2
2016,data.Online_official_documents,data.Experienced,data.3_(Normal),23.7
2016,data.Online_official_documents,data.Experienced,data.4_(A_little_bit),46.0
2016,data.Online_official_documents,data.Experienced,data.5_(Very_satisfactory),24.7
2016,data.Tax_affair_service,data.Experienced,data.1_(Not_at_all),2.8
2016,data.Tax_affair_service,data.Experienced,data.2_(Not_that_much),6.1
2016,data.Tax_affair_service,data.Experienced,data.3_(Normal),31.4
2016,data.Tax_affair_service,data.Experienced,data.4_(A_little_bit),49.5
2016,data.Tax_affair_service,data.Experienced,data.5_(Very_satisfactory),10.2
2016,data.Police_service,data.Experienced,data.1_(Not_at_all),6.8
2016,data.Police_service,data.Experienced,data.2_(Not_that_much),12.8
2016,data.Police_service,data.Experienced,data.3_(Normal),32.9
2016,data.Police_service,data.Experienced,data.4_(A_little_bit),35.8
2016,data.Police_service,data.Experienced,data.5_(Very_satisfactory),11.7
2017,data.Public_hearing,data.Experienced,data.1_(Not_at_all),7.4
2017,data.Public_hearing,data.Experienced,data.2_(Not_that_much),25.4
2017,data.Public_hearing,data.Experienced,data.3_(Normal),41.7
2017,data.Public_hearing,data.Experienced,data.4_(A_little_bit),24.4
2017,data.Public_hearing,data.Experienced,data.5_(Very_satisfactory),1.1
2017,data.Participatory_budgeting,data.Experienced,data.1_(Not_at_all),5.2
