Year,동･읍면부별,성별,연령별,Value
2013,,,,39.8
2014,,,,45.6
2015,,,,42.7
2016,,,,46.6
2017,,,,43.4
2018,,,,43.1
2019,,,,40.6
2013,도시(동부),,,39.4
2014,도시(동부),,,44.9
2015,도시(동부),,,42.6
2016,도시(동부),,,46.6
2017,도시(동부),,,43.6
2018,도시(동부),,,43.8
2019,도시(동부),,,40.2
2013,농어촌(읍면부),,,42.5
2014,농어촌(읍면부),,,49.5
2015,농어촌(읍면부),,,42.6
2016,농어촌(읍면부),,,46.4
2017,농어촌(읍면부),,,42.4
2018,농어촌(읍면부),,,39.8
2019,농어촌(읍면부),,,42.6
2013,,남자,,39.8
2014,,남자,,45.3
2015,,남자,,41.6
2016,,남자,,44.9
2017,,남자,,42.3
2018,,남자,,41.5
2019,,남자,,39.7
2013,,여자,,40.0
2014,,여자,,46.0
2015,,여자,,43.7
2016,,여자,,48.4
2017,,여자,,44.6
2018,,여자,,44.9
2019,,여자,,41.6
2013,,,19~29세,35.1
2014,,,19~29세,40.6
2015,,,19~29세,38.7
2016,,,19~29세,45.2
2017,,,19~29세,41.4
2018,,,19~29세,40.6
2019,,,19~29세,37.6
2013,,,30~39세,38.7
2014,,,30~39세,43.8
2015,,,30~39세,41.8
2016,,,30~39세,42.5
2017,,,30~39세,39.4
2018,,,30~39세,39.8
2019,,,30~39세,34.9
2013,,,40~49세,38.9
2014,,,40~49세,41.9
2015,,,40~49세,39.8
2016,,,40~49세,44.5
2017,,,40~49세,41.3
2018,,,40~49세,42.9
2019,,,40~49세,39.3
2013,,,50~59세,41.8
2014,,,50~59세,50.9
2015,,,50~59세,43.5
2016,,,50~59세,51.3
2017,,,50~59세,46.6
2018,,,50~59세,44.7
2019,,,50~59세,45.1
2013,,,60~69세,48.6
2014,,,60~69세,55.0
2015,,,60~69세,53.2
2016,,,60~69세,50.1
2017,,,60~69세,49.8
2018,,,60~69세,48.2
2019,,,60~69세,46.2
