Year,data.Reasons,Value
2019,data.01_Sex,13.9
2019,data.02_Age,13.6
2019,data.03_Socio-Eoconomic_status,10.3
2019,data.04_Forms_of_employment,7.8
2019,data.05_Educational_background,7.7
2019,data.06_Physical_condition,6.6
2019,data.07_Political_opinion,4.1
2019,data.08_Marital status_such_as_being_single/married/divorced/widowed,3.3
2019,data.09_Geographic_location_or_Place_of_residence,2.7
2019,data.10_Marital_status_such_as_being_pregnant/with_or_without_children,2.6
2019,data.11_Health_status,2.3
2019,data.12_Religion,2.2
2019,data.13_Disability,1.7
2019,data.14_Ethnicity/Colour/Language/Migration_status,1.4
2019,data.15_Marital_status_such_as_being_orphan/born_from_unmarried_parents,1.2
2020,data.01_Sex,11.8
2020,data.02_Age,12.9
2020,data.03_Socio-Eoconomic_status,13.0
2020,data.04_Forms_of_employment,11.0
2020,data.05_Educational_background,8.7
2020,data.06_Physical_condition,5.7
2020,data.07_Political_opinion,6.8
2020,data.08_Marital status_such_as_being_single/married/divorced/widowed,4.0
2020,data.09_Geographic_location_or_Place_of_residence,3.6
2020,data.10_Marital_status_such_as_being_pregnant/with_or_without_children,2.1
2020,data.11_Health_status,2.7
2020,data.12_Religion,2.5
2020,data.13_Disability,2.0
2020,data.14_Ethnicity/Colour/Language/Migration_status,1.6
2020,data.15_Marital_status_such_as_being_orphan/born_from_unmarried_parents,2.2
2020,data.17_Gender identity,0.0
2020,data.17_Etc,0.1
2021,data.01_Sex,7.6
2021,data.02_Age,7.5
2021,data.03_Socio-Eoconomic_status,6.2
2021,data.04_Forms_of_employment,5.4
2021,data.05_Educational_background,4.5
2021,data.06_Physical_condition,3.0
2021,data.07_Political_opinion,2.6
2021,data.08_Marital status_such_as_being_single/married/divorced/widowed,1.8
2021,data.09_Geographic_location_or_Place_of_residence,1.8
2021,data.10_Marital_status_such_as_being_pregnant/with_or_without_children,1.6
2021,data.11_Health_status,1.4
2021,data.12_Religion,1.4
2021,data.13_Disability,1.4
2021,data.14_Ethnicity/Colour/Language/Migration_status,1.0
2021,data.15_Marital_status_such_as_being_orphan/born_from_unmarried_parents,1.2
2021,data.17_Gender identity,0.0
2021,data.17_Etc,0.0
2022,data.01_Sex,5.4
2022,data.02_Age,5.2
2022,data.03_Socio-Eoconomic_status,4.0
2022,data.04_Forms_of_employment,3.2
2022,data.05_Educational_background,2.5
2022,data.06_Physical_condition2.0,
2022,data.07_Political_opinion,1.6
2022,data.08_Marital status_such_as_being_single/married/divorced/widowed,1.0
2022,data.09_Geographic_location_or_Place_of_residence,1.2
2022,data.10_Marital_status_such_as_being_pregnant/with_or_without_children,1.0
2022,data.11_Health_status,1.0
2022,data.12_Religion,0.8
2022,data.13_Disability,0.9
2022,data.14_Ethnicity/Colour/Language/Migration_status,0.6
2022,data.15_Marital_status_such_as_being_orphan/born_from_unmarried_parents,0.9
2022,data.17_Gender identity,0.7
2022,data.17_Etc,0.0
