Year,data.category,data.Type_of_product,Value
2005,data.most-favoured-nation_status,data.Agricultural_products,86.03
2010,data.most-favoured-nation_status,data.Agricultural_products,81.91
2015,data.most-favoured-nation_status,data.Agricultural_products,81.16
2016,data.most-favoured-nation_status,data.Agricultural_products,84.76
2017,data.most-favoured-nation_status,data.Agricultural_products,71.62
2018,data.most-favoured-nation_status,data.Agricultural_products,71.62
2005,data.most-favoured-nation_status,data.Total_or_no_breakdown,7.9
2010,data.most-favoured-nation_status,data.Total_or_no_breakdown,7.2
2015,data.most-favoured-nation_status,data.Total_or_no_breakdown,8.71
2016,data.most-favoured-nation_status,data.Total_or_no_breakdown,8.69
2017,data.most-favoured-nation_status,data.Total_or_no_breakdown,8.58
2018,data.most-favoured-nation_status,data.Total_or_no_breakdown,8.58
2005,data.most-favoured-nation_status,data.Arms,0.09
2010,data.most-favoured-nation_status,data.Arms,0.09
2015,data.most-favoured-nation_status,data.Arms,0.23
2016,data.most-favoured-nation_status,data.Arms,0.24
2017,data.most-favoured-nation_status,data.Arms,0.26
2018,data.most-favoured-nation_status,data.Arms,0.26
2005,data.most-favoured-nation_status,data.Clothing,12.85
2010,data.most-favoured-nation_status,data.Clothing,12.8
2015,data.most-favoured-nation_status,data.Clothing,12.84
2016,data.most-favoured-nation_status,data.Clothing,12.87
2017,data.most-favoured-nation_status,data.Clothing,12.83
2018,data.most-favoured-nation_status,data.Clothing,12.83
2005,data.most-favoured-nation_status,data.Industrial_products,4.02
2010,data.most-favoured-nation_status,data.Industrial_products,3.75
2015,data.most-favoured-nation_status,data.Industrial_products,4.22
2016,data.most-favoured-nation_status,data.Industrial_products,3.86
2017,data.most-favoured-nation_status,data.Industrial_products,4.92
2018,data.most-favoured-nation_status,data.Industrial_products,4.92
2005,data.most-favoured-nation_status,data.Oil,5.0
2010,data.most-favoured-nation_status,data.Oil,3.0
2015,data.most-favoured-nation_status,data.Oil,3.0
2016,data.most-favoured-nation_status,data.Oil,3.0
2017,data.most-favoured-nation_status,data.Oil,3.0
2018,data.most-favoured-nation_status,data.Oil,3.0
2005,data.most-favoured-nation_status,data.Textiles,8.52
2010,data.most-favoured-nation_status,data.Textiles,8.08
2015,data.most-favoured-nation_status,data.Textiles,8.23
2016,data.most-favoured-nation_status,data.Textiles,8.26
2017,data.most-favoured-nation_status,data.Textiles,8.25
2018,data.most-favoured-nation_status,data.Textiles,8.25
2005,data.preferencial_status,data.Agricultural_products,85.92
2010,data.preferencial_status,data.Agricultural_products,81.35
2015,data.preferencial_status,data.Agricultural_products,68.04
2016,data.preferencial_status,data.Agricultural_products,72.26
2017,data.preferencial_status,data.Agricultural_products,52.19
2018,data.preferencial_status,data.Agricultural_products,49.71
2005,data.preferencial_status,data.Total_or_no_breakdown,7.86
2010,data.preferencial_status,data.Total_or_no_breakdown,6.88
2015,data.preferencial_status,data.Total_or_no_breakdown,6.07
2016,data.preferencial_status,data.Total_or_no_breakdown,6.65
2017,data.preferencial_status,data.Total_or_no_breakdown,4.9
2018,data.preferencial_status,data.Total_or_no_breakdown,4.68
2005,data.preferencial_status,data.Arms,0.09
2010,data.preferencial_status,data.Arms,0.09
2015,data.preferencial_status,data.Arms,0.01
2016,data.preferencial_status,data.Arms,0.01
2017,data.preferencial_status,data.Arms,0.0
2018,data.preferencial_status,data.Arms,0.0
2005,data.preferencial_status,data.Clothing,11.69
2010,data.preferencial_status,data.Clothing,10.17
2015,data.preferencial_status,data.Clothing,5.3
2016,data.preferencial_status,data.Clothing,5.75
2017,data.preferencial_status,data.Clothing,3.74
2018,data.preferencial_status,data.Clothing,3.45
2005,data.preferencial_status,data.Industrial_products,3.99
2010,data.preferencial_status,data.Industrial_products,3.42
2015,data.preferencial_status,data.Industrial_products,2.07
2016,data.preferencial_status,data.Industrial_products,2.4
2017,data.preferencial_status,data.Industrial_products,1.94
2018,data.preferencial_status,data.Industrial_products,1.86
2005,data.preferencial_status,data.Oil,5.0
2010,data.preferencial_status,data.Oil,2.99
2015,data.preferencial_status,data.Oil,2.83
2016,data.preferencial_status,data.Oil,2.9
2017,data.preferencial_status,data.Oil,2.78
2018,data.preferencial_status,data.Oil,2.77
2005,data.preferencial_status,data.Textiles,8.45
2010,data.preferencial_status,data.Textiles,7.02
2015,data.preferencial_status,data.Textiles,4.66
2016,data.preferencial_status,data.Textiles,5.22
2017,data.preferencial_status,data.Textiles,3.51
2018,data.preferencial_status,data.Textiles,3.26
