Year,data.Cultivation_size,Value
2003,,10572
2003,0~0.5_ha,2211
2003,0.5~1.0_ha,4154
2003,1.0~1.5_ha,9312
2003,1.5~2.0_ha,12899
2003,2.0~3.0_ha,15224
2003,3.0~5.0_ha,16324
2003,5.0~7.0_ha,20405
2003,7.0~10.0_ha,34633
2003,10.0_ha~,35376
2004,,12050
2004,0~0.5_ha,3633
2004,0.5~1.0_ha,6318
2004,1.0~1.5_ha,8817
2004,1.5~2.0_ha,12336
2004,2.0~3.0_ha,17398
2004,3.0~5.0_ha,19798
2004,5.0~7.0_ha,23025
2004,7.0~10.0_ha,35639
2004,10.0_ha~,44490
2005,,11815
2005,0~0.5_ha,3634
2005,0.5~1.0_ha,6062
2005,1.0~1.5_ha,9706
2005,1.5~2.0_ha,13581
2005,2.0~3.0_ha,16627
2005,3.0~5.0_ha,19610
2005,5.0~7.0_ha,22303
2005,7.0~10.0_ha,30201
2005,10.0_ha~,28354
2006,,12092
2006,0~0.5_ha,3374
2006,0.5~1.0_ha,5167
2006,1.0~1.5_ha,10202
2006,1.5~2.0_ha,13737
2006,2.0~3.0_ha,17406
2006,3.0~5.0_ha,22086
2006,5.0~7.0_ha,19927
2006,7.0~10.0_ha,28237
2006,10.0_ha~,40310
2007,,10406
2007,0~0.5_ha,2385
2007,0.5~1.0_ha,5692
2007,1.0~1.5_ha,8510
2007,1.5~2.0_ha,11864
2007,2.0~3.0_ha,13362
2007,3.0~5.0_ha,19185
2007,5.0~7.0_ha,22851
2007,7.0~10.0_ha,20671
2007,10.0_ha~,34601
2008,,9654
2008,0~0.5_ha,2396
2008,0.5~1.0_ha,5209
2008,1.0~1.5_ha,8351
2008,1.5~2.0_ha,11858
2008,2.0~3.0_ha,15370
2008,3.0~5.0_ha,18144
2008,5.0~7.0_ha,19439
2008,7.0~10.0_ha,42839
2008,10.0_ha~,23526
2009,,17008
2009,0~0.5_ha,1972
2009,0.5~1.0_ha,6675
2009,1.0~1.5_ha,8760
2009,1.5~2.0_ha,12471
2009,2.0~3.0_ha,14750
2009,3.0~5.0_ha,17224
2009,5.0~7.0_ha,17619
2009,7.0~10.0_ha,31687
2009,10.0_ha~,41910
2010,,10098
2010,0~0.5_ha,2531
2010,0.5~1.0_ha,8215
2010,1.0~1.5_ha,9689
2010,1.5~2.0_ha,9728
2010,2.0~3.0_ha,11936
2010,3.0~5.0_ha,20049
2010,5.0~7.0_ha,20265
2010,7.0~10.0_ha,37435
2010,10.0_ha~,42964
2011,,8753
2011,0~0.5_ha,2098
2011,0.5~1.0_ha,4470
2011,1.0~1.5_ha,10538
2011,1.5~2.0_ha,10404
2011,2.0~3.0_ha,12650
2011,3.0~5.0_ha,15357
2011,5.0~7.0_ha,11256
2011,7.0~10.0_ha,40041
2011,10.0_ha~,45944
2012,,9127
2012,0~0.5_ha,1469
2012,0.5~1.0_ha,4725
2012,1.0~1.5_ha,10828
2012,1.5~2.0_ha,10448
2012,2.0~3.0_ha,12382
2012,3.0~5.0_ha,18745
2012,5.0~7.0_ha,21418
2012,7.0~10.0_ha,41390
2012,10.0_ha~,32198
2013,,10035
2013,0~0.5_ha,2110
2013,0.5~1.0_ha,4680
2013,1.0~1.5_ha,12244
2013,1.5~2.0_ha,17865
2013,2.0~3.0_ha,16373
2013,3.0~5.0_ha,20095
2013,5.0~7.0_ha,28628
2013,7.0~10.0_ha,21406
2013,10.0_ha~,28840
2014,,10303
2014,0~0.5_ha,2562
2014,0.5~1.0_ha,6435
2014,1.0~1.5_ha,13035
2014,1.5~2.0_ha,13588
2014,2.0~3.0_ha,14497
2014,3.0~5.0_ha,20302
2014,5.0~7.0_ha,27697
2014,7.0~10.0_ha,33262
2014,10.0_ha~,32508
2015,,11257
2015,0~0.5_ha,3034
2015,0.5~1.0_ha,7280
2015,1.0~1.5_ha,9494
2015,1.5~2.0_ha,13794
2015,2.0~3.0_ha,20183
2015,3.0~5.0_ha,22052
2015,5.0~7.0_ha,35205
2015,7.0~10.0_ha,43525
2015,10.0_ha~,42949
2016,,10068
2016,0~0.5_ha,2352
2016,0.5~1.0_ha,6443
2016,1.0~1.5_ha,11396
2016,1.5~2.0_ha,10331
2016,2.0~3.0_ha,18458
2016,3.0~5.0_ha,23599
2016,5.0~7.0_ha,24814
2016,7.0~10.0_ha,43572
2016,10.0_ha~,36982
2017,,10047
2017,0~0.5_ha,1367
2017,0.5~1.0_ha,6493
2017,1.0~1.5_ha,11247
2017,1.5~2.0_ha,11365
2017,2.0~3.0_ha,16405
2017,3.0~5.0_ha,24640
2017,5.0~7.0_ha,32908
2017,7.0~10.0_ha,50481
2017,10.0_ha~,45535
2018,,12920
2018,0~0.5_ha,2994
2018,0.5~1.0_ha,7061
2018,1.0~1.5_ha,10820
2018,1.5~2.0_ha,20258
2018,2.0~3.0_ha,24499
2018,3.0~5.0_ha,36134
2018,5.0~7.0_ha,34206
2018,7.0~10.0_ha,52235
2018,10.0_ha~,86648
2019,,10261
2019,0~0.5_ha,2022
2019,0.5~1.0_ha,5574
2019,1.0~1.5_ha,9450
2019,1.5~2.0_ha,14928
2019,2.0~3.0_ha,19354
2019,3.0~5.0_ha,23335
2019,5.0~7.0_ha,37016
2019,7.0~10.0_ha,34741
2019,10.0_ha~,65494
2020,,11820
2020,0~0.5_ha,2136
2020,0.5~1.0_ha,6722
2020,1.0~1.5_ha,11991
2020,1.5~2.0_ha,17225
2020,2.0~3.0_ha,20712
2020,3.0~5.0_ha,29350
2020,5.0~7.0_ha,37707
2020,7.0~10.0_ha,38676
2020,10.0_ha~,57790
2021,,12961
2021,0~0.5_ha,3897
2021,0.5~1.0_ha,8096
2021,1.0~1.5_ha,17118
2021,1.5~2.0_ha,15507
2021,2.0~3.0_ha,22875
2021,3.0~5.0_ha,30416
2021,5.0~7.0_ha,36523
2021,7.0~10.0_ha,45724
2021,10.0_ha~,44639
