Year,data.Sex,Value
2000,,13.7
2000,data.Male,19.0
2000,data.Female,8.4
2001,,14.6
2001,data.Male,20.3
2001,data.Female,8.7
2002,,18.0
2002,data.Male,24.7
2002,data.Female,11.2
2003,,22.7
2003,data.Male,31.2
2003,data.Female,14.1
2004,,23.9
2004,data.Male,32.6
2004,data.Female,15.0
2005,,24.8
2005,data.Male,33.1
2005,data.Female,16.6
2006,,22.0
2006,data.Male,29.7
2006,data.Female,14.2
2007,,24.9
2007,data.Male,31.6
2007,data.Female,18.2
2008,,26.0
2008,data.Male,33.4
2008,data.Female,18.7
2009,,31.0
2009,data.Male,39.9
2009,data.Female,22.1
2010,,31.2
2010,data.Male,41.4
2010,data.Female,21.0
2011,,31.7
2011,data.Male,43.3
2011,data.Female,20.1
2012,,28.1
2012,data.Male,38.2
2012,data.Female,18.0
2013,,28.5
2013,data.Male,39.8
2013,data.Female,17.3
2014,,27.3
2014,data.Male,38.4
2014,data.Female,16.1
2015,,26.5
2015,data.Male,37.5
2015,data.Female,15.5
2016,,25.6
2016,data.Male,36.2
2016,data.Female,15.0
2017,,24.3
2017,data.Male,34.9
2017,data.Female,13.8
2018,,26.6
2018,data.Male,38.5
2018,data.Female,14.8
2019,,26.9
2019,data.Male,38.0
2019,data.Female,15.8
