Year,data.Alcohol,Value
2005,,9.787
2005,data.01_Takju,0.324
2005,data.02_Yakju,0.138
2005,data.03_Cheongju,0.098
2005,data.04_Beer,2.049
2005,data.05_Wine,0.132
2005,data.06_Distilled soju,0.004
2005,data.07_Diluted soju,6.476
2005,data.08_Whiskey,0.365
2005,data.09_Brandy,0.015
2005,data.10_Sprits,0.103
2005,data.11_Liquor,0.064
2005,data.12_Others,0.019
2006,,9.977
2006,data.01_Takju,0.328
2006,data.02_Yakju,0.131
2006,data.03_Cheongju,0.091
2006,data.04_Beer,2.095
2006,data.05_Wine,0.15
2006,data.06_Distilled soju,0.005
2006,data.07_Diluted soju,6.61
2006,data.08_Whiskey,0.35
2006,data.09_Brandy,0.019
2006,data.10_Sprits,0.103
2006,data.11_Liquor,0.07
2006,data.12_Others,0.024
2007,,10.07
2007,data.01_Takju,0.328
2007,data.02_Yakju,0.1
2007,data.03_Cheongju,0.088
2007,data.04_Beer,2.181
2007,data.05_Wine,0.201
2007,data.06_Distilled soju,0.006
2007,data.07_Diluted soju,6.56
2007,data.08_Whiskey,0.381
2007,data.09_Brandy,0.021
2007,data.10_Sprits,0.113
2007,data.11_Liquor,0.065
2007,data.12_Others,0.027
2008,,10.225
2008,data.01_Takju,0.331
2008,data.02_Yakju,0.081
2008,data.03_Cheongju,0.083
2008,data.04_Beer,2.232
2008,data.05_Wine,0.182
2008,data.06_Distilled soju,0.006
2008,data.07_Diluted soju,6.745
2008,data.08_Whiskey,0.336
2008,data.09_Brandy,0.017
2008,data.10_Sprits,0.113
2008,data.11_Liquor,0.069
2008,data.12_Others,0.03
2009,,9.631
2009,data.01_Takju,0.484
2009,data.02_Yakju,0.065
2009,data.03_Cheongju,0.088
2009,data.04_Beer,2.146
2009,data.05_Wine,0.147
2009,data.06_Distilled soju,0.008
2009,data.07_Diluted soju,6.178
2009,data.08_Whiskey,0.276
2009,data.09_Brandy,0.015
2009,data.10_Sprits,0.144
2009,data.11_Liquor,0.052
2009,data.12_Others,0.027
2010,,9.715
2010,data.01_Takju,0.757
2010,data.02_Yakju,0.055
2010,data.03_Cheongju,0.089
2010,data.04_Beer,2.075
2010,data.05_Wine,0.149
2010,data.06_Distilled soju,0.007
2010,data.07_Diluted soju,6.113
2010,data.08_Whiskey,0.278
2010,data.09_Brandy,0.014
2010,data.10_Sprits,0.099
2010,data.11_Liquor,0.045
2010,data.12_Others,0.035
2011,,9.652
2011,data.01_Takju,0.829
2011,data.02_Yakju,0.054
2011,data.03_Cheongju,0.092
2011,data.04_Beer,2.112
2011,data.05_Wine,0.145
2011,data.06_Distilled soju,0.007
2011,data.07_Diluted soju,5.977
2011,data.08_Whiskey,0.244
2011,data.09_Brandy,0.012
2011,data.10_Sprits,0.109
2011,data.11_Liquor,0.042
2011,data.12_Others,0.028
2012,,9.777
2012,data.01_Takju,0.8
2012,data.02_Yakju,0.047
2012,data.03_Cheongju,0.097
2012,data.04_Beer,2.17
2012,data.05_Wine,0.143
2012,data.06_Distilled soju,0.007
2012,data.07_Diluted soju,6.084
2012,data.08_Whiskey,0.211
2012,data.09_Brandy,0.01
2012,data.10_Sprits,0.121
2012,data.11_Liquor,0.059
2012,data.12_Others,0.029
2013,,9.43
2013,data.01_Takju,0.752
2013,data.02_Yakju,0.041
2013,data.03_Cheongju,0.102
2013,data.04_Beer,2.196
2013,data.05_Wine,0.159
2013,data.06_Distilled soju,0.007
2013,data.07_Diluted soju,5.726
2013,data.08_Whiskey,0.189
2013,data.09_Brandy,0.009
2013,data.10_Sprits,0.154
2013,data.11_Liquor,0.061
2013,data.12_Others,0.033
2014,,9.65
2014,data.01_Takju,0.75
2014,data.02_Yakju,0.034
2014,data.03_Cheongju,0.093
2014,data.04_Beer,2.178
2014,data.05_Wine,0.161
2014,data.06_Distilled soju,0.007
