Year,data.Sex,Value
2001,,30.2
2001,data.Male,60.9
2001,data.Female,5.2
2005,,28.8
2005,data.Male,51.7
2005,data.Female,5.7
2007,,25.3
2007,data.Male,45.1
2007,data.Female,5.3
2008,,27.8
2008,data.Male,47.8
2008,data.Female,7.4
2009,,27.3
2009,data.Male,47.0
2009,data.Female,7.1
2010,,27.5
2010,data.Male,48.3
2010,data.Female,6.3
2011,,27.1
2011,data.Male,47.3
2011,data.Female,6.8
2012,,25.8
2012,data.Male,43.7
2012,data.Female,7.9
2013,,24.1
2013,data.Male,42.2
2013,data.Female,6.2
2014,,24.2
2014,data.Male,43.2
2014,data.Female,5.7
2015,,22.6
2015,data.Male,39.4
2015,data.Female,5.5
2016,,23.9
2016,data.Male,40.7
2016,data.Female,6.4
2017,,22.3
2017,data.Male,38.1
2017,data.Female,6.0
2018,,22.4
2018,data.Male,36.7
2018,data.Female,7.5
2019,,21.5
2019,data.Male,35.7
2019,data.Female,6.7
2020,,20.6
2020,data.Male,34.0
2020,data.Female,6.6
