Year,data.Education_indicators,data.Type_of_skill,Value
2003,data.Native_parity_index,data.Numeracy,0.220344007165347
2006,data.Native_parity_index,data.Numeracy,1.09184585178267
2006,data.Native_parity_index,data.Literacy,0.211557397705957
2009,data.Native_parity_index,data.Literacy,0.635021107030191
2012,data.Native_parity_index,data.Literacy,0.702697436098762
2012,data.Native_parity_index,data.Numeracy,0.714281706598549
2015,data.Native_parity_index,data.Numeracy,1.02581097056164
2003,data.Language_test_parity_index,data.Literacy,0.72250355719465
2003,data.Language_test_parity_index,data.Numeracy,0.626201300996527
2006,data.Language_test_parity_index,data.Literacy,0.798235009894934
2006,data.Language_test_parity_index,data.Numeracy,0.926720328391517
2009,data.Language_test_parity_index,data.Literacy,0.784276120036459
2009,data.Language_test_parity_index,data.Numeracy,0.692234278030671
2012,data.Language_test_parity_index,data.Literacy,0.922856234404703
2012,data.Language_test_parity_index,data.Numeracy,0.723227178060552
2018,data.Language_test_parity_index,data.Literacy,0.73619520053112
2018,data.Language_test_parity_index,data.Numeracy,0.79248498404889
2000,data.Gender_parity_index,data.Literacy,1.03874
2000,data.Gender_parity_index,data.Numeracy,0.96628
2003,data.Gender_parity_index,data.Literacy,1.04282
2003,data.Gender_parity_index,data.Numeracy,0.97297
2006,data.Gender_parity_index,data.Literacy,1.05357
2006,data.Gender_parity_index,data.Numeracy,1.00502
2009,data.Gender_parity_index,data.Literacy,1.07009
2009,data.Gender_parity_index,data.Numeracy,1.02319
2011,data.Gender_parity_index,data.Numeracy,1.00149
2012,data.Gender_parity_index,data.Literacy,1.06573
2012,data.Gender_parity_index,data.Numeracy,1.00105
2015,data.Gender_parity_index,data.Literacy,1.14261
2015,data.Gender_parity_index,data.Numeracy,1.05831
2015,data.Gender_parity_index,data.Numeracy,1.00527
2018,data.Gender_parity_index,data.Literacy,1.09286
2018,data.Gender_parity_index,data.Numeracy,1.01412
2000,data.Low_to_high_socio-economic_parity_status_index,data.Literacy,0.898568944042732
2000,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.870102889648548
2003,data.Low_to_high_socio-economic_parity_status_index,data.Literacy,0.886229038145007
2003,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.83164721382251
2006,data.Low_to_high_socio-economic_parity_status_index,data.Literacy,0.93400227409223
2006,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.879080546180804
2009,data.Low_to_high_socio-economic_parity_status_index,data.Literacy,0.898191102874981
2009,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.869812111064004
2011,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.941164071166394
2012,data.Low_to_high_socio-economic_parity_status_index,data.Literacy,0.906398993601387
2012,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.889888709913915
2015,data.Low_to_high_socio-economic_parity_status_index,data.Literacy,0.83226173010044
2015,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.785251070001341
2015,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.934854869058554
2018,data.Low_to_high_socio-economic_parity_status_index,data.Literacy,0.816184357811575
2018,data.Low_to_high_socio-economic_parity_status_index,data.Numeracy,0.79945047280668
2000,data.Rural_to_urban_parity_index,data.Numeracy,0.900436436175238
2000,data.Rural_to_urban_parity_index,data.Literacy,0.9446970235889
2003,data.Rural_to_urban_parity_index,data.Numeracy,0.843827409903758
2003,data.Rural_to_urban_parity_index,data.Literacy,0.92600976771944
2006,data.Rural_to_urban_parity_index,data.Numeracy,0.84316884877919
2006,data.Rural_to_urban_parity_index,data.Literacy,0.858078304400475
2009,data.Rural_to_urban_parity_index,data.Numeracy,0.823088073588172
2009,data.Rural_to_urban_parity_index,data.Literacy,0.839992965341114
2011,data.Rural_to_urban_parity_index,data.Numeracy,0.948479896708481
2012,data.Rural_to_urban_parity_index,data.Literacy,0.931439386510226
2012,data.Rural_to_urban_parity_index,data.Numeracy,0.911265652494717
