Year,Units,Value
2000,data.Tonnes_per_capita,15.7955
2001,data.Tonnes_per_capita,16.26135
2002,data.Tonnes_per_capita,16.46484
2003,data.Tonnes_per_capita,17.28639
2004,data.Tonnes_per_capita,16.99455
2005,data.Tonnes_per_capita,15.4661
2006,data.Tonnes_per_capita,15.52364
2007,data.Tonnes_per_capita,16.23488
2008,data.Tonnes_per_capita,16.27868
2009,data.Tonnes_per_capita,15.9601
2010,data.Tonnes_per_capita,15.9241
2011,data.Tonnes_per_capita,15.86373
2012,data.Tonnes_per_capita,15.71003
2013,data.Tonnes_per_capita,15.64822
2014,data.Tonnes_per_capita,15.75547
2015,data.Tonnes_per_capita,15.81035
2016,data.Tonnes_per_capita,15.83407
2017,data.Tonnes_per_capita,15.86009
2000,data.Kilograms_per_constant_2010_USD,1.05416
2001,data.Kilograms_per_constant_2010_USD,1.04542
2002,data.Kilograms_per_constant_2010_USD,0.9913
2003,data.Kilograms_per_constant_2010_USD,1.01659
2004,data.Kilograms_per_constant_2010_USD,0.95734
2005,data.Kilograms_per_constant_2010_USD,0.84198
2006,data.Kilograms_per_constant_2010_USD,0.80662
2007,data.Kilograms_per_constant_2010_USD,0.8026
2008,data.Kilograms_per_constant_2010_USD,0.78512
2009,data.Kilograms_per_constant_2010_USD,0.76683
2010,data.Kilograms_per_constant_2010_USD,0.72095
2011,data.Kilograms_per_constant_2010_USD,0.6954
2012,data.Kilograms_per_constant_2010_USD,0.67604
2013,data.Kilograms_per_constant_2010_USD,0.65727
2014,data.Kilograms_per_constant_2010_USD,0.64314
2015,data.Kilograms_per_constant_2010_USD,0.63045
2016,data.Kilograms_per_constant_2010_USD,0.61583
2017,data.Kilograms_per_constant_2010_USD,0.60075
2000,data.Tonnes,748490484.0917
2001,data.Tonnes,775874187.4784
2002,data.Tonnes,790391219.9322
2003,data.Tonnes,834328293.0297
2004,data.Tonnes,824202919.2061
2005,data.Tonnes,753330701.8279
2006,data.Tonnes,759041505.6929
2007,data.Tonnes,796522460.2974
2008,data.Tonnes,801220040.9081
2009,data.Tonnes,788097114.0133
2010,data.Tonnes,789084534.3696
2011,data.Tonnes,789136054.5326
2012,data.Tonnes,784751029.7887
2013,data.Tonnes,785059447.8147
2014,data.Tonnes,793848162.8975
2015,data.Tonnes,799903310.2076
2016,data.Tonnes,804242813.9997
2017,data.Tonnes,808582317.7917
