Year,Value,Units
2015,1,data.Countries_with_birth_registration_data_that_are_at_least_90_percent_complete_(1_=_YES;_0_=_NO)
2016,1,data.Countries_with_birth_registration_data_that_are_at_least_90_percent_complete_(1_=_YES;_0_=_NO)
2017,1,data.Countries_with_birth_registration_data_that_are_at_least_90_percent_complete_(1_=_YES;_0_=_NO)
2018,1,data.Countries_with_birth_registration_data_that_are_at_least_90_percent_complete_(1_=_YES;_0_=_NO)
2019,1,data.Countries_with_birth_registration_data_that_are_at_least_90_percent_complete_(1_=_YES;_0_=_NO)
2015,1,data.Countries_that_have_conducted_at_least_one_population_and_housing_census_in_the_last_10_years_(1_=_YES;_0_=_NO)
2015,1,data.Countries_with_death_registration_data_that_are_at_least_75_percent_complete_(1_=_YES;_0_=_NO)
2016,1,data.Countries_with_death_registration_data_that_are_at_least_75_percent_complete_(1_=_YES;_0_=_NO)
2017,1,data.Countries_with_death_registration_data_that_are_at_least_75_percent_complete_(1_=_YES;_0_=_NO)
2018,1,data.Countries_with_death_registration_data_that_are_at_least_75_percent_complete_(1_=_YES;_0_=_NO)
2019,1,data.Countries_with_death_registration_data_that_are_at_least_75_percent_complete_(1_=_YES;_0_=_NO)
