Year,Value,Units
2001,1.598,data.Agriculture_orientation_index_for_government_expenditures
2002,1.616,data.Agriculture_orientation_index_for_government_expenditures
2003,1.655,data.Agriculture_orientation_index_for_government_expenditures
2004,1.502,data.Agriculture_orientation_index_for_government_expenditures
2005,1.716,data.Agriculture_orientation_index_for_government_expenditures
2006,2.043,data.Agriculture_orientation_index_for_government_expenditures
2007,2.101,data.Agriculture_orientation_index_for_government_expenditures
2008,2.201,data.Agriculture_orientation_index_for_government_expenditures
2009,1.897,data.Agriculture_orientation_index_for_government_expenditures
2010,2.086,data.Agriculture_orientation_index_for_government_expenditures
2011,2.154,data.Agriculture_orientation_index_for_government_expenditures
2012,1.955,data.Agriculture_orientation_index_for_government_expenditures
2013,1.939,data.Agriculture_orientation_index_for_government_expenditures
2014,1.809,data.Agriculture_orientation_index_for_government_expenditures
2015,2.059,data.Agriculture_orientation_index_for_government_expenditures
2016,2.174,data.Agriculture_orientation_index_for_government_expenditures
2017,2.163,data.Agriculture_orientation_index_for_government_expenditures
2018,2.321,data.Agriculture_orientation_index_for_government_expenditures
2019,2.099,data.Agriculture_orientation_index_for_government_expenditures
2001,5.69974,data.Agriculture_share_of_Government_Expenditure(%)
2002,5.18095,data.Agriculture_share_of_Government_Expenditure(%)
2003,4.90677,data.Agriculture_share_of_Government_Expenditure(%)
2004,4.44192,data.Agriculture_share_of_Government_Expenditure(%)
2005,4.49618,data.Agriculture_share_of_Government_Expenditure(%)
2006,5.1013,data.Agriculture_share_of_Government_Expenditure(%)
2007,4.79824,data.Agriculture_share_of_Government_Expenditure(%)
2008,4.71453,data.Agriculture_share_of_Government_Expenditure(%)
2009,4.25093,data.Agriculture_share_of_Government_Expenditure(%)
2010,4.47172,data.Agriculture_share_of_Government_Expenditure(%)
2011,4.7592,data.Agriculture_share_of_Government_Expenditure(%)
2012,4.27384,data.Agriculture_share_of_Government_Expenditure(%)
2013,4.06971,data.Agriculture_share_of_Government_Expenditure(%)
2014,3.72095,data.Agriculture_share_of_Government_Expenditure(%)
2015,4.12655,data.Agriculture_share_of_Government_Expenditure(%)
2016,4.04131,data.Agriculture_share_of_Government_Expenditure(%)
2017,4.0,data.Agriculture_share_of_Government_Expenditure(%)
2018,4.05,data.Agriculture_share_of_Government_Expenditure(%)
2019,3.41,data.Agriculture_share_of_Government_Expenditure(%)
2001,3.56582,data.Agriculture_value_added_share_of_GDP(%)
2002,3.2068,data.Agriculture_value_added_share_of_GDP(%)
2003,2.9646,data.Agriculture_value_added_share_of_GDP(%)
2004,2.95802,data.Agriculture_value_added_share_of_GDP(%)
2005,2.61998,data.Agriculture_value_added_share_of_GDP(%)
2006,2.49747,data.Agriculture_value_added_share_of_GDP(%)
2007,2.28341,data.Agriculture_value_added_share_of_GDP(%)
2008,2.14225,data.Agriculture_value_added_share_of_GDP(%)
2009,2.24056,data.Agriculture_value_added_share_of_GDP(%)
2010,2.14402,data.Agriculture_value_added_share_of_GDP(%)
2011,2.2092,data.Agriculture_value_added_share_of_GDP(%)
2012,2.18619,data.Agriculture_value_added_share_of_GDP(%)
2013,2.09905,data.Agriculture_value_added_share_of_GDP(%)
2014,2.05668,data.Agriculture_value_added_share_of_GDP(%)
2015,2.00391,data.Agriculture_value_added_share_of_GDP(%)
2016,1.85903,data.Agriculture_value_added_share_of_GDP(%)
2017,1.85076,data.Agriculture_value_added_share_of_GDP(%)
2018,1.7464,data.Agriculture_value_added_share_of_GDP(%)
2019,1.6224,data.Agriculture_value_added_share_of_GDP(%)
2020,1.7581,data.Agriculture_value_added_share_of_GDP(%)
