Value,Disaggregation combinations using this value,Number of indicators
01~02,3,1
03~05,3,1
06~11,3,1
10~19,1,1
12~18,3,1
19~29,4,2
20-29,1,1
20~29,1,1
30-39,1,1
30~39,2,2
30~49,3,1
3~9,1,1
40-49,1,1
40~49,2,2
50-59,1,1
50~59,2,2
50~64,3,1
6-19,1,1
60-69,1,1
60+,1,1
60~,1,1
60~69,2,2
65~,3,1
70+,2,2
data.0~19,3,1
data.1_year_old,1,1
data.20~29,3,1
data.2_years_old,1,1
data.30~39,3,1
data.3_years_old,1,1
data.40~49,3,1
data.50~59,3,1
data.60~69,3,1
data.6_years_old,1,1
data.70~79,3,1
data.80~,3,1
