Value,Disaggregation combinations using this value,Number of indicators
IHR01,1,1
IHR02,1,1
IHR03,1,1
IHR04,1,1
IHR05,1,1
IHR06,1,1
IHR07,1,1
IHR08,1,1
IHR09,1,1
IHR10,1,1
IHR11,1,1
IHR12,1,1
IHR13,1,1
SPAR01,1,1
SPAR02,1,1
SPAR03,1,1
SPAR04,1,1
SPAR05,1,1
SPAR06,1,1
SPAR07,1,1
SPAR08,1,1
SPAR09,1,1
SPAR10,1,1
SPAR11,1,1
SPAR12,1,1
SPAR13,1,1
SPAR2-C01,1,1
SPAR2-C02,1,1
SPAR2-C03,1,1
SPAR2-C04,1,1
SPAR2-C05,1,1
SPAR2-C06,1,1
SPAR2-C07,1,1
SPAR2-C08,1,1
SPAR2-C09,1,1
SPAR2-C10,1,1
SPAR2-C11,1,1
SPAR2-C12,1,1
SPAR2-C13,1,1
SPAR2-C14,1,1
SPAR2-C15,1,1
