Value,Disaggregation combinations using this value,Number of indicators
75%이상 사망등록,1,1
90%이상 출생등록,1,1
G1_총자산 대비 기본자본(Tier 1) 비율,1,1
G2_위험가중자산 대비 기본자본(Tier 1) 비율,1,1
G3_총자본 대비 부실채권충당금 비율,1,1
G4_총채권 대비 부실채권 비율,1,1
G5_총자산순이익률,1,1
G6_단기부채 대비 유동자산 비율,1,1
G7_총자본 대비 외환종합포지션 비율,1,1
PM10,1,1
PM2.5,1,1
SCP 이행계획보유 및 정책 우선순위,1,1
SCP 정책 제도적 기제 보유,1,1
SCP 정책수단 보유,1,1
건설폐기물,2,2
공여국 사업 중 수원국 주도의 성과체계로부터 도출된 새로운 개발협력 사업 비중(공여국 자료),1,1
공여국이 수원국 주도의 성과체계 및 기획수단을 활용하는 정도(공여국 자료),1,1
국가통계발전계획 재정지원여부,1,1
국가통계발전계획 현재이행여부,1,1
국내_승객량,5,1
국내_화물량,4,1
국제_승객량,2,1
국제_화물량,2,1
담수,1,1
사망또는실종자,2,2
사업장배출시설계폐기물,2,2
사업장생활계폐기물,1,1
생활폐기물,2,2
수원국 주도의 성과체계로부터 도출된 결과 지표,1,1
수원국의 자원과 평가 체계를 활용하여 모니터링할 결과지표의 비율(공여국 자료),1,1
육상,1,1
인구주택총조사실시,1,1
지정폐기물,1,1
직접영향인구,2,2
